지역,측정월,totalCnt,totalPM10,avPM10
서울,1,29016,1497159,51.597706
서울,2,26208,2237815,85.38671
서울,3,29016,2082605,71.77437
경기,1,60264,3381942,56.11878
경기,2,53760,4622615,85.986145
경기,3,59520,4498009,75.57139
강원,1,8184,417884,51.061096
강원,2,7392,529891,71.68439
강원,3,8184,586519,71.66654
부산,1,15624,725271,46.420315
부산,2,14112,882807,62.557186
부산,3,15624,890030,56.965565
경남,1,17112,807516,47.19004
경남,2,15456,977420,63.238873
경남,3,17112,966174,56.46178
울산,1,11160,501899,44.97303
울산,2,10080,626893,62.191765
울산,3,11160,634084,56.817562
광주,1,6696,287355,42.914425
광주,2,6048,344685,56.991566
광주,3,6696,411552,61.462364
전북,1,11160,526979,47.22034
전북,2,10080,654771,64.95744
전북,3,11160,763821,68.44274
전남,1,12648,439453,34.74486
전남,2,11424,595643,52.139618
전남,3,12648,606364,47.941494
대구,1,8928,492516,55.16532
대구,2,8064,542041,67.217384
대구,3,8928,549665,61.56642
제주,1,2976,139979,47.035954
제주,2,2688,156473,58.21168
제주,3,2976,167568,56.30645
경북,1,13392,619606,46.266876
경북,2,12096,748248,61.859127
경북,3,13392,758617,56.64703
충북,1,8184,501911,61.328323
충북,2,7392,604451,81.770966
충북,3,8184,633753,77.43805
전북,1,11160,526979,47.22034
전북,2,10080,654771,64.95744
전북,3,11160,763821,68.44274
인천,1,15624,799073,51.143944
인천,2,14112,1161047,82.273735
인천,3,15624,1112093,71.178505
