지역,측정월,totalCnt,totalPM10,avPM10
서울,10,24742,1388540,56.120766
서울,11,22335,1572457,70.40327
서울,12,24012,1202763,50.09008
경기,10,42690,2673477,62.62537
경기,11,41120,3078530,74.866974
경기,12,42556,2395554,56.291805
강원,10,6606,266241,40.302906
강원,11,6415,398891,62.18098
강원,12,6474,286433,44.24359
부산,10,13026,654956,50.28067
부산,11,12798,893613,69.824425
부산,12,14037,640526,45.63126
경남,10,9790,402423,41.105515
경남,11,9684,596300,61.575794
경남,12,10461,448513,42.87477
울산,10,7598,311687,41.022243
울산,11,7228,401807,55.590343
울산,12,8150,297644,36.520737
광주,10,4984,229086,45.964287
광주,11,4691,354378,75.544235
광주,12,4960,224503,45.262703
전북,10,8429,404110,47.942818
전북,11,8424,481829,57.197174
전북,12,8794,404502,45.997498
전남,10,6834,260606,38.133743
전남,11,6661,349909,52.531002
전남,12,6350,228628,36.00441
대구,10,3823,184238,48.191998
대구,11,4445,280241,63.046345
대구,12,9048,530122,58.589966
제주,10,2200,82494,37.497272
제주,11,2053,141425,68.88699
제주,12,2170,88075,40.58756
경북,10,9356,387763,41.44538
경북,11,8982,567056,63.13249
경북,12,9815,402387,40.997147
충북,10,5067,216051,42.63884
충북,11,4789,309790,64.68783
충북,12,4897,238913,48.787624
전북,10,8429,404110,47.942818
전북,11,8424,481829,57.197174
전북,12,8794,404502,45.997498
인천,10,9998,613932,61.40548
인천,11,9323,657420,70.51593
인천,12,10030,511524,50.9994
