지역,측정월,totalCnt,totalPM10,avPM10
서울,1,24350,1590673,65.32538
서울,2,21274,1426404,67.04917
서울,3,22414,1812158,80.84938
경기,1,44187,3227102,73.03284
경기,2,39767,2907643,73.11698
경기,3,43919,3893314,88.6476
강원,1,6609,365197,55.257526
강원,2,5942,359136,60.440254
강원,3,6693,588054,87.861046
부산,1,13841,723000,52.23611
부산,2,12499,688937,55.11937
부산,3,13751,1136406,82.6417
경남,1,10224,480155,46.963516
경남,2,8001,393715,49.208225
경남,3,10424,766794,73.56044
울산,1,8596,344665,40.095974
울산,2,8653,400153,46.244423
울산,3,10256,843247,82.21987
광주,1,5071,367734,72.51706
광주,2,4670,302221,64.715416
광주,3,5027,416900,82.93217
전북,1,8626,515509,59.76223
전북,2,7726,446938,57.848564
전북,3,7856,555377,70.694626
전남,1,6809,286820,42.12366
전남,2,5744,246452,42.90599
전남,3,6292,322226,51.212017
대구,1,9183,564981,61.524666
대구,2,8139,507258,62.324364
대구,3,9028,749363,83.00432
제주,1,2184,99369,45.498627
제주,2,1810,85876,47.445305
제주,3,2177,135913,62.431328
경북,1,10162,485678,47.793545
경북,2,9082,459534,50.598328
경북,3,10145,760823,74.99487
충북,1,5169,307432,59.47611
충북,2,4605,271600,58.97937
충북,3,5148,362040,70.32634
전북,1,8626,515509,59.76223
전북,2,7726,446938,57.848564
전북,3,7856,555377,70.694626
인천,1,10145,717227,70.697586
인천,2,9158,640214,69.90762
인천,3,10132,827586,81.68042
