지역,측정월,totalCnt,totalPM10,avPM10
서울,7,21394,1106511,51.720623
서울,8,21502,946427,44.015766
서울,9,20438,1228370,60.10226
경기,7,29129,1521454,52.23159
경기,8,28000,1333683,47.631535
경기,9,28467,1897633,66.6608
강원,7,4115,148916,36.18858
강원,8,3986,110948,27.834421
강원,9,3832,140477,36.658924
부산,7,9743,599119,61.492252
부산,8,9827,446634,45.44968
부산,9,9048,500446,55.310123
경남,7,5757,222536,38.654854
경남,8,6358,204003,32.086033
경남,9,6309,198529,31.467587
울산,7,5978,256563,42.917866
울산,8,7333,191773,26.152052
울산,9,7980,270694,33.921555
광주,7,2982,128437,43.07076
광주,8,4069,104452,25.670189
광주,9,4176,174501,41.786636
전북,7,4298,160625,37.372032
전북,8,4269,151521,35.493324
전북,9,4268,250169,58.615044
전남,7,3147,135060,42.917065
전남,8,4446,150109,33.762707
전남,9,4699,209750,44.637157
대구,7,3426,170622,49.8021
대구,8,2929,115995,39.602253
대구,9,3655,183199,50.122845
제주,7,2115,71239,33.682743
제주,8,2066,59918,29.001936
제주,9,2119,87382,41.237377
경북,7,8130,347890,42.790897
경북,8,8284,274770,33.16876
경북,9,8258,328539,39.78433
충북,7,2871,103235,35.957855
충북,8,2738,81833,29.887875
충북,9,3320,127437,38.38464
전북,7,4298,160625,37.372032
전북,8,4269,151521,35.493324
전북,9,4268,250169,58.615044
인천,7,8571,354701,41.383854
인천,8,8694,315319,36.268578
인천,9,8526,440814,51.702324
