지역,측정월,totalCnt,totalPM10,avPM10
서울,10,20008,1387486,69.34656
서울,11,18934,1530489,80.83284
서울,12,19229,1299735,67.59244
경기,10,21991,1551434,70.54859
경기,11,21395,1653653,77.291565
경기,12,21296,1417579,66.565506
강원,10,4006,151317,37.77259
강원,11,3662,170655,46.601585
강원,12,3696,165593,44.803303
부산,10,7603,419832,55.219257
부산,11,7351,491919,66.91865
부산,12,6772,386503,57.073685
경남,10,6002,267264,44.529156
경남,11,5718,289984,50.714237
경남,12,5382,214373,39.831474
울산,10,5715,273948,47.93491
울산,11,4999,271822,54.375275
울산,12,6439,268145,41.64389
광주,10,3463,194815,56.256138
광주,11,3355,200964,59.899853
광주,12,3532,188982,53.50566
전북,10,4820,266689,55.32967
전북,11,4613,256314,55.563408
전북,12,3440,164615,47.8532
전남,10,4327,154852,35.78738
전남,11,4909,202967,41.345894
전남,12,4670,163586,35.02912
대구,10,4875,283915,58.238976
대구,11,4758,404799,85.07755
대구,12,4988,358833,71.939255
제주,10,1448,45176,31.198895
제주,11,1435,53207,37.07805
제주,12,1484,52830,35.59973
경북,10,8391,331308,39.483734
경북,11,8333,415535,49.866196
경북,12,8563,380839,44.47495
충북,10,2580,132473,51.346123
충북,11,2802,162850,58.1192
충북,12,2815,144894,51.472115
전북,10,4820,266689,55.32967
전북,11,4613,256314,55.563408
전북,12,3440,164615,47.8532
인천,10,8797,481237,54.704674
인천,11,7700,430684,55.932987
인천,12,6949,316825,45.59289
