지역,측정월,totalCnt,totalPM10,avPM10
서울,4,28080,2022502,72.02643
서울,5,29016,1674691,57.71612
서울,6,28080,1301229,46.340065
경기,4,58320,4328008,74.21139
경기,5,60264,3426168,56.85265
경기,6,58320,2628566,45.071434
강원,4,7920,418429,52.831944
강원,5,8184,361276,44.144184
강원,6,7920,265000,33.459595
부산,4,15120,889836,58.85159
부산,5,15624,805841,51.577126
부산,6,15120,560780,37.088623
경남,4,16560,955513,57.70006
경남,5,17112,873770,51.06183
경남,6,16560,659544,39.827538
울산,4,10800,632060,58.524075
울산,5,11160,592359,53.078762
울산,6,10800,407287,37.711758
광주,4,6480,422999,65.277626
광주,5,6696,337418,50.39098
광주,6,6480,224294,34.61327
전북,4,11520,831064,72.140976
전북,5,11904,659658,55.414818
전북,6,11520,529932,46.00104
전남,4,12240,632984,51.71438
전남,5,12648,573116,45.31278
전남,6,12240,375624,30.688236
대구,4,8640,530046,61.347916
대구,5,8928,432767,48.473007
대구,6,8640,336658,38.965046
제주,4,2880,154281,53.56979
제주,5,2976,145006,48.725136
제주,6,2880,89827,31.18993
경북,4,12960,688684,53.1392
경북,5,13392,612853,45.76262
경북,6,12960,417846,32.241203
충북,4,7920,526634,66.494194
충북,5,8184,436110,53.288124
충북,6,8640,310855,35.97859
전북,4,11520,831064,72.140976
전북,5,11904,659658,55.414818
전북,6,11520,529932,46.00104
인천,4,15120,1013934,67.05913
인천,5,15624,851133,54.475998
인천,6,15120,691994,45.7668
