지역,측정월,totalCnt,totalPM10,avPM10
서울,10,25433,1624680,63.880783
서울,11,24321,1224864,50.362404
서울,12,25612,1603259,62.59796
경기,10,49160,3275735,66.634155
경기,11,48423,2674257,55.227
경기,12,49953,3112431,62.30719
강원,10,7068,350825,49.63568
강원,11,7752,335420,43.268833
강원,12,8052,447166,55.534775
부산,10,13507,741349,54.88628
부산,11,12851,633844,49.322544
부산,12,13606,759946,55.85374
경남,10,12805,682682,53.313705
경남,11,11751,536686,45.671516
경남,12,13142,763559,58.10067
울산,10,8330,463839,55.682953
울산,11,9122,440492,48.28897
울산,12,9653,568166,58.85901
광주,10,6518,385622,59.16263
광주,11,6462,321710,49.784897
광주,12,6673,379335,56.846245
전북,10,8492,499303,58.796867
전북,11,7794,383176,49.162945
전북,12,7610,417796,54.90092
전남,10,9388,425310,45.303577
전남,11,9069,374909,41.33962
전남,12,9338,456353,48.87053
대구,10,8647,608323,70.35075
대구,11,8180,491476,60.08264
대구,12,7637,527762,69.105934
제주,10,2962,122784,41.45307
제주,11,2865,127022,44.335777
제주,12,2963,134160,45.278435
경북,10,10780,575323,53.36948
경북,11,10303,486374,47.207027
경북,12,10105,572537,56.658783
충북,10,5802,369469,63.679592
충북,11,6416,402717,62.767612
충북,12,6633,496574,74.86417
전북,10,8492,499303,58.796867
전북,11,7794,383176,49.162945
전북,12,7610,417796,54.90092
인천,10,14594,984623,67.46766
인천,11,14060,766044,54.483925
인천,12,14217,848866,59.707813
