지역,측정월,totalCnt,totalPM10,avPM10
서울,1,29016,1492384,51.43314
서울,2,27144,1288123,47.455166
서울,3,29016,1892206,65.2125
경기,1,60264,3408637,56.561745
경기,2,56376,2888847,51.242496
경기,3,60264,4188505,69.5026
강원,1,8184,336905,41.1663
강원,2,7656,312945,40.875782
강원,3,8184,435987,53.273094
부산,1,15624,700388,44.8277
부산,2,14616,671216,45.92337
부산,3,15624,782198,50.063877
경남,1,17112,749746,43.81405
경남,2,16008,723350,45.186783
경남,3,17112,868674,50.764027
울산,1,11160,472753,42.36138
울산,2,10440,435150,41.681034
울산,3,11160,543026,48.658245
광주,1,6696,277467,41.437725
광주,2,6264,290487,46.374043
광주,3,6696,358101,53.47984
전북,1,11904,633725,53.236305
전북,2,11136,567983,51.00422
전북,3,11904,762173,64.02663
전남,1,12648,448949,35.49565
전남,2,11832,456420,38.57505
전남,3,12648,564207,44.6084
대구,1,8928,454098,50.862232
대구,2,8352,395302,47.33022
대구,3,8928,480643,53.83546
제주,1,2976,119790,40.252018
제주,2,2784,129783,46.61746
제주,3,2976,140909,47.348454
경북,1,13392,572139,42.722446
경북,2,12528,511630,40.83892
경북,3,13392,626023,46.746044
충북,1,8184,429385,52.466396
충북,2,7656,376962,49.23746
충북,3,8184,540543,66.04875
전북,1,11904,633725,53.236305
전북,2,11136,567983,51.00422
전북,3,11904,762173,64.02663
인천,1,15624,707069,45.255314
인천,2,14616,639686,43.766148
인천,3,15624,951130,60.876217
