지역,측정월,totalCnt,totalPM10,avPM10
서울,1,23814,1702823,71.50512
서울,2,20498,1674852,81.70807
서울,3,22694,1614209,71.129326
경기,1,46147,3754802,81.36611
경기,2,41834,3552598,84.92131
경기,3,47400,3472878,73.26747
강원,1,7347,447034,60.845787
강원,2,6628,414181,62.48959
강원,3,7284,436469,59.921608
부산,1,13625,764819,56.133503
부산,2,10503,588365,56.018757
부산,3,13871,782071,56.381733
경남,1,10779,539243,50.027184
경남,2,9411,471566,50.10796
경남,3,10746,555117,51.658012
울산,1,10079,526995,52.286438
울산,2,8683,445698,51.329956
울산,3,9373,511884,54.61261
광주,1,5832,341909,58.626373
광주,2,5359,330093,61.59601
광주,3,5933,378630,63.81763
전북,1,8691,532642,61.286617
전북,2,7984,522856,65.487976
전북,3,8703,575636,66.14225
전남,1,5956,248179,41.668736
전남,2,6093,297049,48.752502
전남,3,7233,349715,48.349922
대구,1,9044,552728,61.115437
대구,2,4815,243377,50.545586
대구,3,9172,589229,64.24215
제주,1,2056,85534,41.60214
제주,2,1964,81886,41.69348
제주,3,2951,139054,47.120975
경북,1,10002,521363,52.125874
경북,2,8900,464707,52.21427
경북,3,10847,633756,58.426846
충북,1,5031,367703,73.087456
충북,2,5148,377816,73.39083
충북,3,5713,425141,74.41642
전북,1,8691,532642,61.286617
전북,2,7984,522856,65.487976
전북,3,8703,575636,66.14225
인천,1,10200,755443,74.06304
인천,2,9655,793311,82.16582
인천,3,11015,773444,70.21734
