지역,측정월,totalCnt,totalPM10,avPM10
서울,10,24242,1445512,59.628414
서울,11,23383,1142930,48.878674
서울,12,23700,1461308,61.658566
경기,10,45796,3124947,68.236244
경기,11,43876,2513348,57.282978
경기,12,43890,3170590,72.23946
강원,10,6545,352386,53.84049
강원,11,6317,267606,42.36283
강원,12,6557,356078,54.30502
부산,10,13746,942550,68.56904
부산,11,12849,622312,48.43272
부산,12,13777,768825,55.804966
경남,10,9203,547069,59.444637
경남,11,8906,378447,42.49349
경남,12,10607,528368,49.81314
울산,10,9844,563918,57.285454
울산,11,9250,381578,41.251675
울산,12,10269,502622,48.945564
광주,10,4926,328918,66.77182
광주,11,5679,305198,53.741505
광주,12,5843,346941,59.377205
전북,10,6921,445910,64.42855
전북,11,6759,325629,48.177097
전북,12,7598,413054,54.363518
전남,10,7124,338516,47.517685
전남,11,6850,232195,33.89708
전남,12,6545,252124,38.521618
대구,10,8625,565863,65.60731
대구,11,8755,497229,56.793716
대구,12,8467,517980,61.17633
제주,10,2099,95561,45.526917
제주,11,1978,85725,43.339233
제주,12,2209,90015,40.749207
경북,10,10046,576050,57.34123
경북,11,9641,414405,42.983612
경북,12,9581,475530,49.632607
충북,10,4962,307270,61.924625
충북,11,4716,221510,46.96989
충북,12,4656,316927,68.06851
전북,10,6921,445910,64.42855
전북,11,6759,325629,48.177097
전북,12,7598,413054,54.363518
인천,10,8013,512016,63.898167
인천,11,10597,586272,55.324337
인천,12,10880,752956,69.20551
