지역,측정월,totalCnt,totalPM10,avPM10
서울,4,28120,1496487,53.217888
서울,5,29357,1574199,53.622612
서울,6,28365,1199433,42.285667
경기,4,54567,3186308,58.392582
경기,5,55790,3500143,62.73782
경기,6,54870,2628740,47.908512
강원,4,7699,428459,55.651253
강원,5,7873,390353,49.581226
강원,6,7766,292731,37.693924
부산,4,13739,737932,53.71075
부산,5,14455,839302,58.06309
부산,6,13258,514793,38.828857
경남,4,14929,754925,50.567688
경남,5,15409,829637,53.84107
경남,6,14997,578413,38.56858
울산,4,9996,586357,58.659164
울산,5,10210,605694,59.323605
울산,6,9843,388416,39.46114
광주,4,6464,308184,47.67698
광주,5,6685,396252,59.274796
광주,6,6394,245396,38.379105
전북,4,9881,541883,54.840908
전북,5,10175,670803,65.92658
전북,6,9282,389600,41.973713
전남,4,11392,454293,39.878246
전남,5,11830,571251,48.288334
전남,6,11357,372626,32.81025
대구,4,9265,477949,51.58651
대구,5,9476,479296,50.57999
대구,6,9263,343528,37.08604
제주,4,2873,120740,42.025757
제주,5,2954,146979,49.755924
제주,6,2850,63548,22.297544
경북,4,12673,683714,53.950447
경북,5,13071,663297,50.745697
경북,6,12688,472317,37.225487
충북,4,7676,476372,62.05993
충북,5,8156,502300,61.586563
충북,6,7885,354008,44.896385
전북,4,9881,541883,54.840908
전북,5,10175,670803,65.92658
전북,6,9282,389600,41.973713
인천,4,14724,821744,55.809834
인천,5,15246,974386,63.910927
인천,6,14782,652256,44.125015
