지역,측정월,totalCnt,totalPM10,avPM10
서울,10,22837,1393608,61.024128
서울,11,21986,1545872,70.31165
서울,12,21780,1539527,70.685356
경기,10,27935,1647853,58.98883
경기,11,27579,1861686,67.50375
경기,12,29594,1945612,65.74346
강원,10,3879,149584,38.562515
강원,11,3211,153661,47.85456
강원,12,3429,152502,44.47419
부산,10,10388,746141,71.8272
부산,11,10221,688048,67.31709
부산,12,10482,586555,55.95831
경남,10,6594,199166,30.204124
경남,11,4789,224963,46.97494
경남,12,6417,249398,38.8652
울산,10,8590,422997,49.242958
울산,11,7966,339336,42.59804
울산,12,8075,301801,37.374737
광주,10,3518,137638,39.123936
광주,11,3328,116520,35.01202
광주,12,4290,163150,38.030304
전북,10,4283,228589,53.371235
전북,11,4675,230056,49.20984
전북,12,4769,253129,53.078003
전남,10,5366,264344,49.262764
전남,11,5003,213263,42.627026
전남,12,5410,203767,37.66488
대구,10,4204,301282,71.66556
대구,11,4721,353812,74.94429
대구,12,4957,338732,68.334076
제주,10,2157,99988,46.35512
제주,11,2073,100702,48.577908
제주,12,2189,66410,30.338055
경북,10,8049,383740,47.675488
경북,11,7759,394934,50.900116
경북,12,7650,331425,43.32353
충북,10,3470,162418,46.80634
충북,11,3518,230479,65.51421
충북,12,1948,128723,66.07957
전북,10,4283,228589,53.371235
전북,11,4675,230056,49.20984
전북,12,4769,253129,53.078003
인천,10,8607,427322,49.648193
인천,11,8251,445785,54.027996
인천,12,8511,468323,55.025616
