지역,측정월,totalCnt,totalPM10,avPM10
서울,7,23969,806200,33.635113
서울,8,23782,913420,38.40804
서울,9,23234,811516,34.92795
경기,7,43724,1571814,35.94854
경기,8,43844,1923641,43.87467
경기,9,42414,1842999,43.45261
강원,7,6499,155596,23.94153
강원,8,6514,215598,33.097637
강원,9,6392,179007,28.00485
부산,7,13513,578406,42.80367
부산,8,13287,681608,51.298862
부산,9,12324,472741,38.35938
경남,7,10217,335141,32.80229
경남,8,10302,445762,43.269463
경남,9,9750,345450,35.43077
울산,7,10050,333547,33.188755
울산,8,10004,441824,44.164734
울산,9,9918,304795,30.731499
광주,7,5112,149310,29.207747
광주,8,5059,181435,35.863808
광주,9,5017,184241,36.72334
전북,7,7878,217350,27.589489
전북,8,7734,275413,35.61068
전북,9,7280,253703,34.84931
전남,7,6206,202643,32.652756
전남,8,6442,242001,37.566128
전남,9,6795,194600,28.638704
대구,7,8575,315035,36.738777
대구,8,8302,348318,41.955914
대구,9,8155,288910,35.427345
제주,7,2114,73355,34.699623
제주,8,2045,63942,31.26748
제주,9,2029,59601,29.374569
경북,7,9096,342856,37.69305
경북,8,9939,477729,48.066105
경북,9,9728,342650,35.22307
충북,7,4944,152616,30.868933
충북,8,5115,191875,37.51222
충북,9,5012,158670,31.65802
전북,7,7878,217350,27.589489
전북,8,7734,275413,35.61068
전북,9,7280,253703,34.84931
인천,7,8811,320015,36.319942
인천,8,7975,341117,42.773293
인천,9,7430,322806,43.4463
