지역,측정월,totalCnt,totalPM10,avPM10
서울,1,21178,1314799,62.08325
서울,2,20261,1290490,63.693302
서울,3,23299,1682781,72.225464
경기,1,47746,3203666,67.0981
경기,2,46396,3152297,67.94329
경기,3,49324,3812939,77.30393
강원,1,6629,407076,61.408356
강원,2,6100,427786,70.12885
강원,3,6643,459446,69.16243
부산,1,13775,684075,49.660618
부산,2,12992,677617,52.156483
부산,3,13662,982732,71.93178
경남,1,12176,565602,46.4522
경남,2,11324,528028,46.629105
경남,3,11061,780952,70.6041
울산,1,10254,511437,49.876827
울산,2,9434,528975,56.071125
울산,3,10279,811181,78.916336
광주,1,6678,388564,58.185684
광주,2,6249,358663,57.395264
광주,3,6681,591254,88.49783
전북,1,8575,480422,56.02589
전북,2,8181,419432,51.26904
전북,3,8427,588153,69.79388
전남,1,8492,423457,49.865402
전남,2,8016,399956,49.89471
전남,3,8723,632588,72.51955
대구,1,8801,566537,64.37189
대구,2,8497,530621,62.44804
대구,3,8354,753349,90.17824
제주,1,2928,130225,44.47575
제주,2,2719,143183,52.660168
제주,3,2956,208987,70.69926
경북,1,10861,587114,54.057083
경북,2,10134,604439,59.64466
경북,3,10853,809277,74.56712
충북,1,6605,450508,68.207115
충북,2,6194,434631,70.16968
충북,3,6503,500150,76.91066
전북,1,8575,480422,56.02589
전북,2,8181,419432,51.26904
전북,3,8427,588153,69.79388
인천,1,9476,582969,61.520576
인천,2,8880,556968,62.721622
인천,3,9509,688563,72.41171
