지역,측정월,totalCnt,totalPM10,avPM10
서울,1,25899,1512795,58.411327
서울,2,21733,1798003,82.73147
서울,3,25234,1559038,61.78323
경기,1,49811,3032819,60.88653
경기,2,45066,3719682,82.53854
경기,3,50432,3194649,63.345673
강원,1,8074,429302,53.170918
강원,2,7261,500393,68.91516
강원,3,8124,485112,59.71344
부산,1,13575,591205,43.551014
부산,2,12443,778883,62.596077
부산,3,13210,667731,50.54739
경남,1,13575,570563,42.030422
경남,2,12525,763701,60.974133
경남,3,13861,665593,48.01912
울산,1,10252,454573,44.339935
울산,2,8993,552771,61.46681
울산,3,10312,516546,50.09174
광주,1,6685,274160,41.01122
광주,2,6034,397067,65.80494
광주,3,6683,361905,54.153076
전북,1,7987,381965,47.823338
전북,2,7875,571700,72.596825
전북,3,8905,491866,55.234814
전남,1,9469,359398,37.955223
전남,2,8570,498220,58.135357
전남,3,9404,485354,51.611443
대구,1,8465,438705,51.825752
대구,2,8059,536541,66.57662
대구,3,9275,482669,52.039783
제주,1,2963,94157,31.77759
제주,2,2678,145701,54.406647
제주,3,2964,141466,47.72807
경북,1,9574,455074,47.532276
경북,2,9235,592442,64.15182
경북,3,10875,601051,55.26906
충북,1,6640,439824,66.238556
충북,2,6036,547992,90.78728
충북,3,6516,450665,69.16283
전북,1,7987,381965,47.823338
전북,2,7875,571700,72.596825
전북,3,8905,491866,55.234814
인천,1,14681,839856,57.207
인천,2,13222,1028924,77.81909
인천,3,14508,922027,63.553005
