지역,측정월,totalCnt,totalPM10,avPM10
서울,10,26159,1133909,43.3468
서울,11,25431,1873900,73.68566
서울,12,26373,1707808,64.75593
경기,10,51616,2647109,51.28466
경기,11,50233,4218046,83.96962
경기,12,52267,3752936,71.80316
강원,10,8043,289338,35.973892
강원,11,7741,503112,64.99316
강원,12,8088,472979,58.479103
부산,10,13765,570393,41.437923
부산,11,12297,750230,61.00919
부산,12,13968,772937,55.33627
경남,10,14486,593194,40.949467
경남,11,12700,771479,60.74638
경남,12,14532,850884,58.552437
울산,10,10012,394236,39.376347
울산,11,8803,542223,61.595253
울산,12,9814,541742,55.20094
광주,10,6437,288370,44.79882
광주,11,6468,482532,74.60297
광주,12,6677,386439,57.87614
전북,10,9345,441939,47.291492
전북,11,9208,654951,71.12848
전북,12,9555,543992,56.932705
전남,10,10832,381931,35.25951
전남,11,10483,606434,57.84928
전남,12,10867,527427,48.534737
대구,10,9409,414185,44.02009
대구,11,8785,637351,72.54991
대구,12,9391,650895,69.31051
제주,10,2928,131988,45.07787
제주,11,2812,238141,84.68741
제주,12,2904,159088,54.782368
경북,10,10557,393022,37.22857
경북,11,10087,643042,63.74958
경북,12,11480,655164,57.070034
충북,10,7157,389726,54.453823
충북,11,6871,612838,89.19196
충북,12,6561,525675,80.12117
전북,10,9345,441939,47.291492
전북,11,9208,654951,71.12848
전북,12,9555,543992,56.932705
인천,10,14773,766708,51.899277
인천,11,14303,1127682,78.84234
인천,12,14777,1008328,68.23631
