지역,측정월,totalCnt,totalPM10,avPM10
서울,7,24198,1312522,54.24093
서울,8,23632,1143222,48.376015
서울,9,23763,1311606,55.195305
경기,7,32772,1775340,54.172462
경기,8,31955,1556346,48.704304
경기,9,31719,1722605,54.3083
강원,7,5784,191976,33.190872
강원,8,5865,185511,31.630178
강원,9,5529,198716,35.940678
부산,7,9790,410807,41.9619
부산,8,11167,490387,43.913944
부산,9,10709,515243,48.113083
경남,7,7296,293153,40.179962
경남,8,7321,251232,34.316624
경남,9,6215,221988,35.7181
울산,7,8458,293507,34.701702
울산,8,8578,280094,32.6526
울산,9,8531,314750,36.894855
광주,7,4290,104021,24.24732
광주,8,4380,104250,23.80137
광주,9,4274,131345,30.731165
전북,7,4827,162858,33.738968
전북,8,5132,170616,33.245518
전북,9,5015,181324,36.15633
전남,7,6115,212813,34.8018
전남,8,5631,206952,36.752266
전남,9,5939,289977,48.825897
대구,7,5841,264137,45.221195
대구,8,6126,258234,42.15377
대구,9,5061,262168,51.80162
제주,7,2027,49376,24.359152
제주,8,2216,54208,24.462093
제주,9,2034,65594,32.24877
경북,7,8723,327136,37.502693
경북,8,8699,370433,42.5834
경북,9,8110,407913,50.297535
충북,7,4298,126979,29.543741
충북,8,4322,152376,35.2559
충북,9,4122,161004,39.05968
전북,7,4827,162858,33.738968
전북,8,5132,170616,33.245518
전북,9,5015,181324,36.15633
인천,7,8669,469218,54.125965
인천,8,9882,429719,43.485023
인천,9,9627,453557,47.113014
