지역,측정월,totalCnt,totalPM10,avPM10
서울,1,26767,1611052,60.187992
서울,2,24101,1243851,51.609932
서울,3,27041,1696191,62.72664
경기,1,51636,3540653,68.569466
경기,2,47657,2686836,56.378624
경기,3,52706,3534032,67.051796
강원,1,8048,444642,55.248756
강원,2,7232,344697,47.66275
강원,3,8088,508785,62.90616
부산,1,13840,667747,48.247616
부산,2,12510,571576,45.68953
부산,3,13759,899953,65.40832
경남,1,14595,672861,46.102158
경남,2,13188,561826,42.601303
경남,3,14675,923592,62.936424
울산,1,10292,467911,45.463566
울산,2,9292,404717,43.555424
울산,3,10136,610100,60.1914
광주,1,6685,331293,49.557667
광주,2,6038,255414,42.301094
광주,3,6677,456236,68.32949
전북,1,8777,455166,51.858948
전북,2,7867,364999,46.396214
전북,3,8728,548207,62.81015
전남,1,10686,478262,44.755943
전남,2,9377,364841,38.908073
전남,3,10436,600919,57.581352
대구,1,9609,562470,58.535748
대구,2,8536,434036,50.847702
대구,3,9502,665171,70.003265
제주,1,2936,155714,53.036102
제주,2,2601,106273,40.858517
제주,3,2904,191171,65.83023
경북,1,10170,497610,48.929203
경북,2,9850,438842,44.552486
경북,3,10849,639121,58.91059
충북,1,6624,496880,75.01208
충북,2,6024,362893,60.241203
충북,3,6607,467227,70.716965
전북,1,8777,455166,51.858948
전북,2,7867,364999,46.396214
전북,3,8728,548207,62.81015
인천,1,14685,948490,64.589035
인천,2,13306,730358,54.889374
인천,3,14468,979810,67.72256
