지역,측정월,totalCnt,totalPM10,avPM10
서울,1,23390,1692130,72.34416
서울,2,22152,1557234,70.29767
서울,3,23435,1971896,84.1432
경기,1,34536,2521428,73.00869
경기,2,32851,2323564,70.73039
경기,3,35448,3052717,86.11817
강원,1,5613,323046,57.55318
강원,2,5442,327114,60.10915
강원,3,5101,400967,78.60557
부산,1,10858,681085,62.726562
부산,2,11429,758867,66.39837
부산,3,12340,951448,77.10275
경남,1,7415,357933,48.271477
경남,2,6843,341574,49.915825
경남,3,6998,463781,66.27336
울산,1,9767,396484,40.594246
울산,2,8975,428677,47.763454
울산,3,9636,584431,60.650787
광주,1,4438,189625,42.72758
광주,2,3994,195712,49.001503
광주,3,4270,238430,55.838406
전북,1,4874,164014,33.6508
전북,2,5440,269498,49.540073
전북,3,6469,439149,67.88515
전남,1,6187,311857,50.405205
전남,2,5963,324074,54.347477
전남,3,6316,384255,60.83835
대구,1,6588,424188,64.38798
대구,2,5708,401614,70.35985
대구,3,6751,521981,77.31906
제주,1,2217,91632,41.331528
제주,2,1956,99853,51.04959
제주,3,2217,127706,57.603065
경북,1,8747,506214,57.87287
경북,2,8212,502852,61.233803
경북,3,8764,649378,74.09608
충북,1,4191,279984,66.806015
충북,2,3870,254842,65.85065
충북,3,3167,268141,84.66719
전북,1,4874,164014,33.6508
전북,2,5440,269498,49.540073
전북,3,6469,439149,67.88515
인천,1,10154,680194,66.987785
인천,2,9446,571954,60.549862
인천,3,10114,752816,74.43306
