지역,측정월,totalCnt,totalPM10,avPM10
서울,4,23590,2032466,86.15795
서울,5,24613,1465359,59.535976
서울,6,23779,1635370,68.773705
경기,4,40968,3840338,93.739944
경기,5,43837,2944693,67.17369
경기,6,41148,3048847,74.09466
강원,4,6422,555117,86.439896
강원,5,6449,333142,51.657932
강원,6,6420,402163,62.642212
부산,4,11582,904235,78.07244
부산,5,12142,786851,64.80407
부산,6,12097,890973,73.65239
경남,4,6748,494337,73.25681
경남,5,6018,361042,59.993687
경남,6,5854,361472,61.747864
울산,4,6941,490600,70.68146
울산,5,7945,448777,56.485462
울산,6,7474,484137,64.77615
광주,4,5013,355607,70.936966
광주,5,5149,272627,52.947563
광주,6,5025,285685,56.852737
전북,4,7865,570591,72.54813
전북,5,8873,482992,54.4339
전북,6,8426,485884,57.66485
전남,4,6374,318940,50.03765
전남,5,6712,311720,46.442192
전남,6,6571,338549,51.521687
대구,4,6861,517801,75.47019
대구,5,6937,415934,59.95877
대구,6,6219,390720,62.82682
제주,4,2160,133264,61.696297
제주,5,2160,97865,45.30787
제주,6,2111,98499,46.659878
경북,4,9518,728802,76.570915
경북,5,10019,523632,52.263897
경북,6,9393,553261,58.901417
충북,4,4435,346977,78.23608
충북,5,4350,223565,51.394253
충북,6,4149,232763,56.100986
전북,4,7865,570591,72.54813
전북,5,8873,482992,54.4339
전북,6,8426,485884,57.66485
인천,4,9623,763167,79.30656
인천,5,9816,580715,59.160046
인천,6,9066,596418,65.78623
