지역,측정월,totalCnt,totalPM10,avPM10
서울,10,29016,1118009,38.530777
서울,11,28080,1460844,52.02436
서울,12,29016,1431440,49.332783
경기,10,61008,2481446,40.674107
경기,11,59040,3454455,58.510418
경기,12,61008,3344955,54.828136
강원,10,8184,225685,27.576368
강원,11,7920,313537,39.588005
강원,12,8184,320096,39.112415
부산,10,15624,566163,36.23675
부산,11,15120,729623,48.25549
부산,12,15624,678996,43.458527
경남,10,17112,610263,35.66287
경남,11,16560,801544,48.402416
경남,12,17112,743947,43.475163
울산,10,11160,401905,36.012993
울산,11,10800,504587,46.72102
울산,12,11160,435431,39.017117
광주,10,6696,215060,32.117683
광주,11,6480,291046,44.914505
광주,12,6696,275208,41.100357
전북,10,11904,464885,39.05284
전북,11,11520,631677,54.833073
전북,12,11904,588577,49.443634
전남,10,12648,347588,27.481657
전남,11,12240,437947,35.779984
전남,12,12648,395807,31.294039
대구,10,8928,283024,31.700716
대구,11,8640,346315,40.082756
대구,12,9672,346288,35.803143
제주,10,2976,85497,28.72883
제주,11,2880,103927,36.085762
제주,12,2976,90923,30.552084
경북,10,13392,432030,32.260303
경북,11,12960,579204,44.691666
경북,12,13392,530753,39.632095
충북,10,8928,331332,37.11156
충북,11,8640,473116,54.758797
충북,12,8928,452393,50.67126
전북,10,11904,464885,39.05284
전북,11,11520,631677,54.833073
전북,12,11904,588577,49.443634
인천,10,15624,642062,41.094597
인천,11,15120,806247,53.323215
인천,12,15624,662276,42.38838
