지역,측정월,totalCnt,totalPM10,avPM10
서울,7,24742,1725076,69.72258
서울,8,24566,1138201,46.33237
서울,9,23740,906962,38.20396
경기,7,43582,3045118,69.871
경기,8,42679,2072007,48.54863
경기,9,41320,1781229,43.108154
강원,7,6522,377122,57.82306
강원,8,6556,292021,44.542557
강원,9,6323,189537,29.975803
부산,7,13185,965817,73.2512
부산,8,13019,701746,53.901684
부산,9,11950,540117,45.198074
경남,7,5992,376455,62.826267
경남,8,8898,367715,41.32558
경남,9,9579,336354,35.113686
울산,7,7271,408163,56.135746
울산,8,7231,294286,40.69783
울산,9,6138,218152,35.541218
광주,7,5203,272912,52.452816
광주,8,5083,150667,29.641354
광주,9,4796,127997,26.688282
전북,7,7975,453297,56.83975
전북,8,8242,304490,36.943703
전북,9,8537,288863,33.836594
전남,7,6654,331169,49.769913
전남,8,6580,240926,36.614895
전남,9,6822,219221,32.13442
대구,7,6341,390324,61.55559
대구,8,4902,224309,45.75867
대구,9,3879,132786,34.232018
제주,7,2077,99250,47.785267
제주,8,2207,71751,32.510647
제주,9,2102,57494,27.352045
경북,7,9915,587219,59.225315
경북,8,9930,446410,44.95569
경북,9,9130,344214,37.701424
충북,7,4368,228549,52.32349
충북,8,4147,159244,38.399807
충북,9,4833,146378,30.287191
전북,7,7975,453297,56.83975
전북,8,8242,304490,36.943703
전북,9,8537,288863,33.836594
인천,7,9785,646819,66.10312
인천,8,10018,441642,44.084846
인천,9,9908,446115,45.025738
