지역,측정월,totalCnt,totalPM10,avPM10
서울,7,29016,980256,33.78329
서울,8,29016,1037560,35.7582
서울,9,28080,1075226,38.291523
경기,7,60264,1822849,30.247726
경기,8,60264,2036636,33.795235
경기,9,58320,2293444,39.325172
강원,7,8184,207634,25.370724
강원,8,8184,195688,23.911045
강원,9,7920,206727,26.101894
부산,7,15624,452307,28.949501
부산,8,15624,564413,36.124744
부산,9,15120,535252,35.400265
경남,7,17112,501445,29.303705
경남,8,17112,568813,33.240593
경남,9,16560,564084,34.06304
울산,7,11160,334529,29.975718
울산,8,11160,343281,30.759947
울산,9,10800,365062,33.802036
광주,7,6696,152804,22.82019
광주,8,6696,177991,26.58169
광주,9,6480,189250,29.205246
전북,7,11904,314986,26.460518
전북,8,11904,405752,34.08535
전북,9,11520,427504,37.109722
전남,7,12648,279790,22.121284
전남,8,12648,353237,27.92829
전남,9,12240,341207,27.876389
대구,7,8928,260926,29.225582
대구,8,8928,241951,27.100246
대구,9,8640,282988,32.753242
제주,7,2976,71958,24.179436
제주,8,2976,84776,28.486559
제주,9,2880,90504,31.425
경북,7,13392,303089,22.632093
경북,8,13392,298997,22.326538
경북,9,12960,318241,24.555634
충북,7,8928,204341,22.887657
충북,8,8928,210848,23.616488
충북,9,8640,269662,31.21088
전북,7,11904,314986,26.460518
전북,8,11904,405752,34.08535
전북,9,11520,427504,37.109722
인천,7,15624,506254,32.40233
인천,8,15624,547367,35.03373
인천,9,15120,605992,40.078835
