지역,측정월,totalCnt,totalPM10,avPM10
서울,7,23389,1268125,54.218864
서울,8,23943,890878,37.208286
서울,9,23888,918985,38.47057
경기,7,37350,1822068,48.783615
경기,8,37303,1493717,40.042812
경기,9,38211,1623949,42.499516
강원,7,5235,239339,45.719006
강원,8,6582,197582,30.018536
강원,9,6269,177878,28.374222
부산,7,12230,748780,61.224857
부산,8,11655,533799,45.8
부산,9,11021,523494,47.499683
경남,7,6280,285300,45.429935
경남,8,5773,246634,42.72198
경남,9,5854,261892,44.737274
울산,7,7207,415158,57.604828
울산,8,7297,312503,42.82623
울산,9,7282,277968,38.171932
광주,7,4362,156185,35.805824
광주,8,4377,136461,31.176834
광주,9,4269,136944,32.07871
전북,7,7190,339694,47.245342
전북,8,7367,253060,34.350483
전북,9,6949,234082,33.68571
전남,7,6175,309307,50.090202
전남,8,6409,258333,40.30785
전남,9,6764,265910,39.31254
대구,7,6212,315402,50.77302
대구,8,6648,270442,40.680206
대구,9,5760,242988,42.185417
제주,7,2186,67114,30.701738
제주,8,2202,61038,27.719347
제주,9,1935,55685,28.777779
경북,7,8602,460123,53.490234
경북,8,8774,332057,37.845566
경북,9,8268,301197,36.429245
충북,7,4547,206974,45.518803
충북,8,4921,161447,32.807762
충북,9,4782,175341,36.666874
전북,7,7190,339694,47.245342
전북,8,7367,253060,34.350483
전북,9,6949,234082,33.68571
인천,7,9848,546793,55.523254
인천,8,9833,386459,39.302246
인천,9,9736,431214,44.290672
