지역,측정월,totalCnt,totalPM10,avPM10
서울,1,29016,1586411,54.673664
서울,2,26208,1275530,48.66949
서울,3,29016,1827572,62.984974
경기,1,61008,3753378,61.522717
경기,2,55104,2988140,54.22728
경기,3,61008,4146296,67.96315
강원,1,8184,394435,48.19587
강원,2,7392,372444,50.38474
강원,3,8184,463232,56.60215
부산,1,15624,690555,44.19835
부산,2,14112,589811,41.795
부산,3,15624,795981,50.946045
경남,1,17112,767268,44.83801
경남,2,15456,639897,41.401203
경남,3,17112,848053,49.558964
울산,1,11160,464449,41.617294
울산,2,10080,375101,37.212402
울산,3,11160,554832,49.71613
광주,1,6696,295555,44.139038
광주,2,6048,226130,37.38922
광주,3,6696,345510,51.59946
전북,1,11904,661230,55.546875
전북,2,10752,507744,47.223213
전북,3,11904,766527,64.39239
전남,1,12648,446605,35.310326
전남,2,11424,358827,31.409927
전남,3,12648,517645,40.927025
대구,1,9672,483143,49.95275
대구,2,8736,367560,42.074177
대구,3,9672,473562,48.96216
제주,1,2976,74726,25.109543
제주,2,2688,70623,26.273438
제주,3,2976,127105,42.710014
경북,1,13392,593982,44.353493
경북,2,12096,474883,39.259506
경북,3,13392,603491,45.063545
충북,1,8928,497962,55.775314
충북,2,8064,405577,50.294765
충북,3,8943,514059,57.481716
전북,1,11904,661230,55.546875
전북,2,10752,507744,47.223213
전북,3,11904,766527,64.39239
인천,1,15624,763965,48.89689
인천,2,14112,625213,44.303642
인천,3,15624,928167,59.40649
