지역,측정월,totalCnt,totalPM10,avPM10
서울,7,25563,1076253,42.101982
서울,8,25675,830486,32.346096
서울,9,24951,1066540,42.74538
경기,7,47954,2110979,44.020916
경기,8,48858,1747766,35.77236
경기,9,46719,2190954,46.896423
강원,7,7934,313698,39.53844
강원,8,8113,190593,23.492296
강원,9,7850,248121,31.60777
부산,7,13645,673960,49.392452
부산,8,13619,459543,33.742786
부산,9,13185,510583,38.724537
경남,7,10569,484791,45.869144
경남,8,12755,397123,31.134693
경남,9,12392,441494,35.62734
울산,7,9720,565028,58.13045
울산,8,9301,302463,32.519405
울산,9,8502,308252,36.25641
광주,7,6638,229325,34.547302
광주,8,6618,218081,32.952705
광주,9,6146,214534,34.90628
전북,7,8488,316005,37.229618
전북,8,8230,297602,36.160633
전북,9,8280,322896,38.9971
전남,7,8551,354774,41.48918
전남,8,9585,304495,31.767866
전남,9,9220,313376,33.98872
대구,7,7693,411275,53.460938
대구,8,8556,314286,36.73282
대구,9,8141,348788,42.843384
제주,7,2900,106045,36.56724
제주,8,2966,100465,33.87222
제주,9,2823,89656,31.75912
경북,7,10708,478416,44.67837
경북,8,10862,334305,30.777481
경북,9,10190,367752,36.0895
충북,7,6421,282117,43.936615
충북,8,6678,221579,33.180443
충북,9,6400,249124,38.925625
전북,7,8488,316005,37.229618
전북,8,8230,297602,36.160633
전북,9,8280,322896,38.9971
인천,7,13060,497947,38.12764
인천,8,13084,501876,38.357994
인천,9,12593,638596,50.710396
