지역,측정월,totalCnt,totalPM10,avPM10
서울,7,28867,870838,30.16725
서울,8,28720,678142,23.612186
서울,9,28031,812455,28.98416
경기,7,56360,1944441,34.500374
경기,8,56176,1573619,28.0123
경기,9,54444,1960197,36.003914
강원,7,7957,243539,30.606888
강원,8,8071,186290,23.081402
강원,9,7739,208741,26.972607
부산,7,14685,586142,39.914333
부산,8,14526,489301,33.684498
부산,9,14206,499188,35.139236
경남,7,14902,536107,35.975506
경남,8,15234,442921,29.074505
경남,9,14654,487429,33.262524
울산,7,10077,483495,47.980053
울산,8,10107,357813,35.402493
울산,9,9822,354108,36.052536
광주,7,6673,164342,24.627903
광주,8,6568,147416,22.44458
광주,9,6246,211679,33.89033
전북,7,9437,256921,27.22486
전북,8,9984,242186,24.257412
전북,9,9757,371397,38.06467
전남,7,11774,327681,27.830898
전남,8,11680,290970,24.911816
전남,9,11424,337966,29.583858
대구,7,9536,330889,34.69893
대구,8,9529,261836,27.477804
대구,9,9164,291040,31.759058
제주,7,2923,62349,21.330482
제주,8,2911,61929,21.274132
제주,9,2861,84815,29.64523
경북,7,12959,475967,36.728683
경북,8,12358,359327,29.07647
경북,9,12004,378660,31.544485
충북,7,8014,275514,34.379086
충북,8,7110,153037,21.52419
충북,9,7878,278694,35.376236
전북,7,9437,256921,27.22486
전북,8,9984,242186,24.257412
전북,9,9757,371397,38.06467
인천,7,15229,474497,31.157463
인천,8,14873,438587,29.488806
인천,9,14315,518833,36.24401
