지역,측정월,totalCnt,totalPM10,avPM10
서울,1,22366,1801628,80.552086
서울,2,19719,1673166,84.85045
서울,3,21418,1801675,84.11967
경기,1,31660,2380229,75.180954
경기,2,28554,2273500,79.62107
경기,3,30659,2489700,81.20617
강원,1,3815,233746,61.27025
강원,2,4810,298864,62.13389
강원,3,4939,324061,65.61267
부산,1,10433,589353,56.48931
부산,2,8978,566946,63.14836
부산,3,9903,546731,55.208622
경남,1,6514,288388,44.27203
경남,2,5563,298181,53.600754
경남,3,6161,236033,38.310825
울산,1,7149,308307,43.125893
울산,2,7518,354178,47.11067
울산,3,8614,323453,37.549686
광주,1,3504,137162,39.144405
광주,2,3748,129198,34.471184
광주,3,4164,149266,35.846783
전북,1,4244,219519,51.724552
전북,2,4607,282724,61.36835
전북,3,5120,253035,49.4209
전남,1,6536,267364,40.906364
전남,2,5010,239123,47.72914
전남,3,6124,292918,47.831158
대구,1,5437,396879,72.99596
대구,2,4413,329973,74.77294
대구,3,5452,364597,66.87399
제주,1,2177,86072,39.536976
제주,2,1963,88359,45.012226
제주,3,2139,97010,45.35297
경북,1,7091,363578,51.273163
경북,2,6292,367498,58.407185
경북,3,7922,429802,54.25423
충북,1,3553,250332,70.45651
충북,2,3968,307114,77.39768
충북,3,4356,322416,74.016525
전북,1,4244,219519,51.724552
전북,2,4607,282724,61.36835
전북,3,5120,253035,49.4209
인천,1,8541,472241,55.291065
인천,2,7759,538444,69.39606
인천,3,8649,621060,71.807144
