지역,측정월,totalCnt,totalPM10,avPM10
서울,1,22783,1573083,69.04635
서울,2,20509,1612081,78.60359
서울,3,17795,1805321,101.45103
경기,1,19148,1366350,71.35732
경기,2,17156,1396307,81.38885
경기,3,20674,2057868,99.53894
강원,1,2271,107915,47.518715
강원,2,1521,76536,50.319527
강원,3,2289,135919,59.379204
부산,1,6798,371105,54.59032
부산,2,6879,443966,64.53932
부산,3,7573,673417,88.92341
경남,1,3790,197393,52.082584
경남,2,4694,249797,53.216232
경남,3,5070,418039,82.45345
울산,1,5385,230008,42.71272
울산,2,4474,263634,58.925793
울산,3,5116,427258,83.51408
광주,1,2886,150707,52.220028
광주,2,2419,149479,61.793716
광주,3,2829,241972,85.5327
전북,1,3109,221691,71.306206
전북,2,3584,213004,59.43192
전북,3,3657,414309,113.292046
전남,1,4493,170976,38.05386
전남,2,4250,187135,44.031765
전남,3,4140,322066,77.79372
대구,1,5339,376345,70.48979
대구,2,4809,356053,74.03889
대구,3,5050,540751,107.07941
제주,1,1263,54284,42.980206
제주,2,670,35434,52.886566
제주,3,695,71575,102.98561
경북,1,7135,341367,47.84401
경북,2,6671,347155,52.039425
경북,3,7658,615728,80.40324
충북,1,1599,103760,64.89056
충북,2,1882,130589,69.38842
충북,3,2122,234276,110.4034
전북,1,3109,221691,71.306206
전북,2,3584,213004,59.43192
전북,3,3657,414309,113.292046
인천,1,8692,531435,61.140705
인천,2,7952,516371,64.93599
인천,3,8688,711374,81.880066
