지역,측정월,totalCnt,totalPM10,avPM10
서울,10,28811,1013982,35.194267
서울,11,28115,1246822,44.347218
서울,12,29256,1271420,43.458435
경기,10,55883,2334595,41.776478
경기,11,55090,2884156,52.35353
경기,12,56384,2849303,50.533894
강원,10,7855,284904,36.2704
강원,11,7627,359181,47.093353
강원,12,7910,341760,43.20607
부산,10,14432,606005,41.990368
부산,11,13868,653850,47.14811
부산,12,14604,527869,36.145508
경남,10,15244,644461,42.27637
경남,11,13038,615175,47.183235
경남,12,13919,543150,39.0222
울산,10,9942,434146,43.667873
울산,11,9911,442876,44.6853
울산,12,10310,347370,33.69253
광주,10,6302,265418,42.11647
광주,11,6311,295084,46.75709
광주,12,6650,224181,33.71143
전북,10,9951,426123,42.82213
전북,11,9105,462424,50.787918
전북,12,9833,429209,43.649853
전남,10,11731,401335,34.21149
전남,11,11407,458635,40.20645
전남,12,11650,318997,27.381718
대구,10,9084,403349,44.402134
대구,11,8550,426343,49.864677
대구,12,9298,425828,45.797806
제주,10,2855,100127,35.07075
제주,11,2868,118090,41.175034
제주,12,2969,77738,26.183228
경북,10,12265,506279,41.278355
경북,11,11822,572654,48.43969
경북,12,12222,496817,40.649403
충북,10,8031,365442,45.50392
충북,11,7865,471876,59.99695
충북,12,8143,488782,60.024807
전북,10,9951,426123,42.82213
전북,11,9105,462424,50.787918
전북,12,9833,429209,43.649853
인천,10,15363,608625,39.616287
인천,11,14744,722343,48.992336
인천,12,15455,717235,46.40796
