지역,측정월,totalCnt,totalPM10,avPM10
서울,1,22293,1388959,62.304714
서울,2,17627,833320,47.275204
서울,3,24716,1645408,66.572586
경기,1,42435,2938100,69.237656
경기,2,37989,1972058,51.91129
경기,3,43407,3189507,73.479095
강원,1,6537,359590,55.008415
강원,2,5861,276603,47.193825
강원,3,6586,431828,65.567566
부산,1,13170,663722,50.396507
부산,2,11235,554914,49.391544
부산,3,12339,761567,61.720318
경남,1,6471,364744,56.36594
경남,2,5950,305417,51.33059
경남,3,6648,416194,62.604393
울산,1,7362,302273,41.058544
울산,2,6824,279568,40.968346
울산,3,7939,423331,53.322964
광주,1,5172,227990,44.081593
광주,2,4687,187081,39.91487
광주,3,5148,293814,57.073425
전북,1,7426,337155,45.401966
전북,2,7146,300131,41.99986
전북,3,7874,421529,53.53429
전남,1,6242,236889,37.950817
전남,2,6618,249133,37.644756
전남,3,6517,297538,45.65567
대구,1,6459,360779,55.85679
대구,2,6137,309775,50.476616
대구,3,6893,459447,66.654144
제주,1,2163,66017,30.521036
제주,2,2015,75307,37.3732
제주,3,2224,108726,48.88759
경북,1,9476,437357,46.15418
경북,2,8590,349283,40.661583
경북,3,10214,591972,57.95692
충북,1,5011,283928,56.660946
충북,2,4571,207097,45.306717
충북,3,4888,292948,59.93208
전북,1,7426,337155,45.401966
전북,2,7146,300131,41.99986
전북,3,7874,421529,53.53429
인천,1,8433,484496,57.45239
인천,2,7636,345226,45.21032
인천,3,9931,608802,61.303192
