지역,측정월,totalCnt,totalPM10,avPM10
서울,7,28776,880465,30.597198
서울,8,29347,861469,29.354586
서울,9,27467,852192,31.026031
경기,7,56123,2055134,36.618393
경기,8,56432,1963586,34.795612
경기,9,54386,2015652,37.061966
강원,7,7377,190187,25.781076
강원,8,7385,179989,24.372242
강원,9,7828,202079,25.814896
부산,7,13968,584767,41.86476
부산,8,14562,518954,35.63755
부산,9,14103,470869,33.38786
경남,7,13047,460639,35.306126
경남,8,13175,425212,32.274155
경남,9,13073,419143,32.06173
울산,7,9950,412776,41.485023
울산,8,10144,352250,34.72496
울산,9,9915,344103,34.705296
광주,7,6689,201217,30.081776
광주,8,6660,190950,28.671171
광주,9,6333,204403,32.275856
전북,7,9426,292850,31.068321
전북,8,8912,259704,29.140934
전북,9,8297,265450,31.993492
전남,7,11027,372382,33.77002
전남,8,10948,340970,31.1445
전남,9,10653,316703,29.728996
대구,7,8909,316991,35.580986
대구,8,8718,282828,32.441845
대구,9,8596,280481,32.629246
제주,7,2952,89866,30.442411
제주,8,2758,86571,31.38905
제주,9,2797,75236,26.89882
경북,7,12145,390479,32.15142
경북,8,12267,342824,27.94685
경북,9,11864,352756,29.73331
충북,7,7190,212718,29.585257
충북,8,7348,205893,28.020277
충북,9,7844,266712,34.00204
전북,7,9426,292850,31.068321
전북,8,8912,259704,29.140934
전북,9,8297,265450,31.993492
인천,7,14673,526550,35.88564
인천,8,14611,537640,36.796932
인천,9,14210,577361,40.63061
