지역,측정월,totalCnt,totalPM10,avPM10
서울,4,25052,1866746,74.51485
서울,5,26023,1629478,62.61684
서울,6,25126,1144929,45.5675
경기,4,46786,3588576,76.70192
경기,5,48405,3106839,64.18426
경기,6,46066,2203590,47.835495
강원,4,7813,491737,62.93831
강원,5,7864,478691,60.871185
강원,6,7815,269322,34.46219
부산,4,12938,750411,58.00054
부산,5,13817,813374,58.867626
부산,6,13138,555583,42.288246
경남,4,11806,639666,54.181435
경남,5,11966,678206,56.677753
경남,6,10848,428058,39.459625
울산,4,9781,579538,59.251408
울산,5,10002,648681,64.855125
울산,6,9839,433912,44.10123
광주,4,6459,394354,61.054962
광주,5,6679,351904,52.688126
광주,6,6472,277100,42.815205
전북,4,8190,466232,56.926983
전북,5,8375,426694,50.948536
전북,6,8350,359697,43.077484
전남,4,8367,420817,50.29485
전남,5,8825,416921,47.24317
전남,6,8590,309330,36.01048
대구,4,7861,459762,58.486454
대구,5,8194,535797,65.38895
대구,6,7549,355928,47.149025
제주,4,2858,152793,53.46151
제주,5,2913,133237,45.738758
제주,6,2865,97264,33.94904
경북,4,10387,546108,52.576103
경북,5,10808,626261,57.944206
경북,6,10358,386502,37.314346
충북,4,6435,429797,66.79052
충북,5,6675,397899,59.610336
충북,6,6446,278395,43.1888
전북,4,8190,466232,56.926983
전북,5,8375,426694,50.948536
전북,6,8350,359697,43.077484
인천,4,14127,1083383,76.68882
인천,5,14691,870085,59.225716
인천,6,13648,641437,46.998608
