지역,측정월,totalCnt,totalPM10,avPM10
서울,10,29016,1298733,44.7592
서울,11,28080,967437,34.452885
서울,12,29016,1446517,49.85239
경기,10,60264,2176986,36.124153
경기,11,58320,2034396,34.883335
경기,12,60264,3438671,57.06012
강원,10,8184,246391,30.106426
강원,11,7920,221005,27.904673
강원,12,8184,347452,42.455032
부산,10,15624,471732,30.19278
부산,11,15120,433616,28.678307
부산,12,15624,630437,40.35055
경남,10,17112,599134,35.012505
경남,11,16560,488266,29.484661
경남,12,17112,709879,41.48428
울산,10,11160,306725,27.48432
울산,11,10800,288845,26.744907
울산,12,11160,432393,38.744892
광주,10,6696,216458,32.32646
광주,11,6480,178356,27.524075
광주,12,6696,296541,44.28629
전북,10,11160,416033,37.278942
전북,11,10800,377078,34.91463
전북,12,11725,594013,50.66209
전남,10,12648,467046,36.92647
전남,11,12240,327840,26.784313
전남,12,12648,438534,34.6722
대구,10,8928,322380,36.10887
대구,11,8640,246582,28.539583
대구,12,8928,474294,53.12433
제주,10,2976,108093,36.32157
제주,11,2880,72121,25.042013
제주,12,2976,114238,38.386425
경북,10,13392,357951,26.728718
경북,11,12960,344255,26.562885
경북,12,13392,484129,36.15061
충북,10,8184,411701,50.305595
충북,11,7920,323040,40.78788
충북,12,8184,447418,54.66984
전북,10,11160,416033,37.278942
전북,11,10800,377078,34.91463
전북,12,11725,594013,50.66209
인천,10,15624,621711,39.79205
인천,11,15120,543315,35.933533
인천,12,15624,801331,51.288467
