지역,측정월,totalCnt,totalPM10,avPM10
서울,10,29126,926448,31.80828
서울,11,27531,1249013,45.36751
서울,12,29064,1698352,58.434902
경기,10,58181,2190434,37.648613
경기,11,54440,2808112,51.58178
경기,12,57239,3676154,64.22464
강원,10,7991,252707,31.623953
강원,11,7771,340227,43.781624
강원,12,8089,484566,59.904316
부산,10,15064,585484,38.866436
부산,11,14874,653127,43.91065
부산,12,15384,736054,47.845425
경남,10,15905,620271,38.99849
경남,11,16206,734598,45.328766
경남,12,16852,839745,49.830585
울산,10,10896,392235,35.998074
울산,11,10742,436149,40.602215
울산,12,11081,496373,44.794964
광주,10,6536,225617,34.519123
광주,11,6311,266031,42.15354
광주,12,6695,314195,46.9298
전북,10,10058,381512,37.9312
전북,11,9495,437463,46.072987
전북,12,10324,540212,52.325844
전남,10,12250,357290,29.16653
전남,11,11791,405604,34.399456
전남,12,11863,449887,37.923542
대구,10,9487,342842,36.138084
대구,11,9182,406827,44.307014
대구,12,9592,477115,49.74093
제주,10,2832,106367,37.558968
제주,11,2843,139974,49.23461
제주,12,2915,130643,44.817497
경북,10,12266,450904,36.760475
경북,11,12520,584505,46.685703
경북,12,12988,693032,53.35941
충북,10,7347,288494,39.26691
충북,11,7829,413819,52.857197
충북,12,8074,516894,64.01957
전북,10,10058,381512,37.9312
전북,11,9495,437463,46.072987
전북,12,10324,540212,52.325844
인천,10,15073,546352,36.247063
인천,11,14616,697961,47.753216
인천,12,15171,849900,56.021355
