지역,측정월,totalCnt,totalPM10,avPM10
서울,1,18407,1291195,70.14696
서울,2,17829,1440308,80.78456
서울,3,21996,3295333,149.81511
경기,1,22623,1577565,69.732796
경기,2,21517,1640672,76.25004
경기,3,25810,3578584,138.65106
강원,1,3058,133971,43.810005
강원,2,2931,152922,52.174004
강원,3,2942,260482,88.539085
부산,1,7233,461351,63.784184
부산,2,6472,494205,76.36047
부산,3,8788,1065765,121.27503
경남,1,5771,289729,50.204296
경남,2,5291,298004,56.32281
경남,3,5928,634120,106.970314
울산,1,6232,324003,51.99021
울산,2,5587,323523,57.90639
울산,3,7165,747454,104.32017
광주,1,3535,180429,51.040737
광주,2,3268,204405,62.54743
광주,3,3289,354969,107.92612
전북,1,4331,162021,37.409607
전북,2,3806,169075,44.42328
전북,3,4078,429534,105.329575
전남,1,5332,204430,38.34021
전남,2,4955,230993,46.618164
전남,3,3542,327571,92.48193
대구,1,4721,360413,76.342514
대구,2,5458,475024,87.032616
대구,3,5902,720599,122.09403
제주,1,1481,72165,48.72721
제주,2,1329,65122,49.00075
제주,3,1298,134289,103.4584
경북,1,8484,440354,51.904057
경북,2,7814,471575,60.350014
경북,3,8513,913129,107.26289
충북,1,2769,138254,49.929214
충북,2,1940,113195,58.34794
충북,3,2771,308165,111.210754
전북,1,4331,162021,37.409607
전북,2,3806,169075,44.42328
전북,3,4078,429534,105.329575
인천,1,8251,483660,58.61835
인천,2,7973,462387,57.994106
인천,3,8845,859558,97.1801
