지역,측정월,totalCnt,totalPM10,avPM10
서울,7,29016,879563,30.313034
서울,8,29016,971383,33.477493
서울,9,28080,781049,27.815136
경기,7,60264,1524397,25.295317
경기,8,60264,1732591,28.750017
경기,9,58320,1348560,23.123457
강원,7,8184,224649,27.44978
강원,8,8184,160209,19.57588
강원,9,7920,175266,22.129545
부산,7,15624,386897,24.762993
부산,8,15624,452965,28.991615
부산,9,15120,310439,20.53168
경남,7,17112,465282,27.190393
경남,8,17112,473130,27.649017
경남,9,16560,385763,23.294867
울산,7,11160,347127,31.10457
울산,8,11160,264208,23.674553
울산,9,10800,196937,18.234907
광주,7,6696,151747,22.662336
광주,8,6696,164470,24.562426
광주,9,6480,99771,15.396759
전북,7,11160,344447,30.864426
전북,8,11160,325351,29.153315
전북,9,10800,149577,13.849722
전남,7,12648,293803,23.229206
전남,8,12648,306238,24.212366
전남,9,12240,224767,18.363317
대구,7,8928,243820,27.309587
대구,8,8928,258013,28.899305
대구,9,8640,205192,23.749075
제주,7,2976,81693,27.450605
제주,8,2976,75545,25.384745
제주,9,2880,90946,31.578472
경북,7,13392,377803,28.211096
경북,8,13392,283378,21.160244
경북,9,12960,233737,18.035263
충북,7,8184,160155,19.56928
충북,8,8184,236105,28.849585
충북,9,7920,127424,16.088888
전북,7,11160,344447,30.864426
전북,8,11160,325351,29.153315
전북,9,10800,149577,13.849722
인천,7,15624,378009,24.194124
인천,8,15624,456087,29.191437
인천,9,15120,398406,26.349604
