지역,측정월,totalCnt,totalPM10,avPM10
서울,4,18200,1720049,94.50819
서울,5,18064,1402950,77.66552
서울,6,16603,1344376,80.97187
경기,4,21205,1990204,93.85541
경기,5,20743,1531643,73.83903
경기,6,20991,1609708,76.68563
강원,4,1836,139840,76.16558
강원,5,2402,140619,58.542465
강원,6,2591,138724,53.540718
부산,4,7668,586677,76.50978
부산,5,7940,553846,69.75391
부산,6,7556,402267,53.23809
경남,4,4695,305485,65.066025
경남,5,4936,282512,57.23501
경남,6,5062,247224,48.839195
울산,4,5572,429263,77.03931
울산,5,7022,537322,76.5198
울산,6,7236,443769,61.32794
광주,4,2662,218770,82.18257
광주,5,2807,178197,63.483078
광주,6,3398,255000,75.04414
전북,4,4922,470938,95.680214
전북,5,4864,317401,65.25514
전북,6,4800,354711,73.898125
전남,4,4344,300766,69.23711
전남,5,4892,262869,53.734463
전남,6,4498,253121,56.27412
대구,4,4317,378342,87.64003
대구,5,4498,333998,74.25478
대구,6,3834,286512,74.72926
제주,4,720,61488,85.4
제주,5,921,49252,53.476654
제주,6,1307,47712,36.504974
경북,4,6833,463705,67.86258
경북,5,6982,402106,57.59181
경북,6,7087,352542,49.744884
충북,4,1979,180104,91.007576
충북,5,2191,153995,70.285255
충북,6,1983,132070,66.60111
전북,4,4922,470938,95.680214
전북,5,4864,317401,65.25514
전북,6,4800,354711,73.898125
인천,4,8358,627460,75.07298
인천,5,8855,493949,55.781933
인천,6,8371,481542,57.52503
