지역,측정월,totalCnt,totalPM10,avPM10
서울,7,26130,901077,34.484386
서울,8,26930,910040,33.792797
서울,9,25891,706303,27.279865
경기,7,51777,2120143,40.947582
경기,8,51686,2026691,39.211605
경기,9,49715,1674131,33.674564
강원,7,8090,260899,32.24957
강원,8,8052,252962,31.416046
강원,9,7568,179154,23.67257
부산,7,13812,566625,41.02411
부산,8,13846,587941,42.46288
부산,9,13214,499857,37.827835
경남,7,14693,522299,35.54747
경남,8,13055,473911,36.30111
경남,9,10314,332305,32.21883
울산,7,9818,378211,38.522205
울산,8,10069,400999,39.825108
울산,9,9797,347623,35.482597
광주,7,6670,181015,27.138681
광주,8,6693,191241,28.573286
광주,9,6471,196522,30.36965
전북,7,7718,258172,33.450634
전북,8,8096,265872,32.83992
전북,9,8385,275670,32.876564
전남,7,9970,275271,27.60993
전남,8,10558,320261,30.33349
전남,9,10363,292976,28.27135
대구,7,9442,335137,35.49428
대구,8,9418,352880,37.468678
대구,9,9092,329857,36.279915
제주,7,2914,94134,32.30405
제주,8,2929,90475,30.889381
제주,9,2863,90201,31.505764
경북,7,10081,346093,34.33122
경북,8,10617,366534,34.52331
경북,9,10541,327387,31.05844
충북,7,6404,234984,36.693317
충북,8,6594,246225,37.340763
충북,9,6380,213482,33.46113
전북,7,7718,258172,33.450634
전북,8,8096,265872,32.83992
전북,9,8385,275670,32.876564
인천,7,14636,544105,37.1758
인천,8,14743,558193,37.86156
인천,9,14198,498860,35.135933
