지역,측정월,totalCnt,totalPM10,avPM10
서울,4,20731,1430638,69.0096
서울,5,24059,2234439,92.873314
서울,6,23335,1911281,81.90619
경기,4,32034,2205830,68.859024
경기,5,33195,2915016,87.81491
경기,6,31847,2425275,76.15395
강원,4,5380,288400,53.60595
강원,5,5606,379282,67.65644
강원,6,5365,324375,60.461323
부산,4,8773,543925,61.999886
부산,5,9293,611650,65.81836
부산,6,10245,691449,67.49136
경남,4,5642,267272,47.371853
경남,5,7179,427549,59.555508
경남,6,6797,435836,64.12182
울산,4,8136,352295,43.300762
울산,5,7964,365759,45.926544
울산,6,8320,374254,44.982452
광주,4,4296,145915,33.965317
광주,5,4347,191300,44.007362
광주,6,4272,196936,46.09925
전북,4,5030,266293,52.940956
전북,5,3831,220463,57.547115
전북,6,4439,246183,55.459114
전남,4,5962,290527,48.72979
전남,5,5949,311787,52.409985
전남,6,5893,293095,49.736126
대구,4,5230,366887,70.150475
대구,5,5341,442748,82.89609
대구,6,4810,372372,77.416214
제주,4,1961,95852,48.879143
제주,5,2211,95680,43.274536
제주,6,2110,95933,45.465878
경북,4,8220,477940,58.14355
경북,5,8490,543069,63.965725
경북,6,8339,453651,54.401127
충북,4,3980,232494,58.415577
충북,5,4238,286551,67.61468
충북,6,4004,231280,57.762238
전북,4,5030,266293,52.940956
전북,5,3831,220463,57.547115
전북,6,4439,246183,55.459114
인천,4,8561,520240,60.7686
인천,5,8622,704241,81.67954
인천,6,8394,600614,71.55277
