지역,측정월,totalCnt,totalPM10,avPM10
서울,4,22038,3031813,137.57205
서울,5,22296,1529856,68.615715
서울,6,21111,1369032,64.84923
경기,4,27110,3262622,120.34755
경기,5,28242,1783315,63.144077
경기,6,29305,1862329,63.549873
강원,4,3892,277250,71.23587
강원,5,4361,145725,33.4155
강원,6,4016,153956,38.33566
부산,4,9015,880601,97.681755
부산,5,9696,568541,58.636654
부산,6,9231,634369,68.72159
경남,4,5593,461283,82.47506
경남,5,5497,259358,47.181736
경남,6,5336,286180,53.631935
울산,4,7352,718319,97.70389
울산,5,6598,342759,51.948925
울산,6,5011,245453,48.982838
광주,4,2598,193979,74.66474
광주,5,2093,105008,50.171047
광주,6,2605,139523,53.559692
전북,4,3863,421503,109.11287
전북,5,4444,216547,48.727947
전북,6,4055,262662,64.77485
전남,4,3927,366900,93.4301
전남,5,4986,222893,44.70377
전남,6,3795,221164,58.277733
대구,4,4978,511532,102.75854
대구,5,4529,279756,61.769928
대구,6,4243,275481,64.925995
제주,4,1862,146067,78.4463
제주,5,2006,87373,43.555832
제주,6,1899,89453,47.10532
경북,4,8283,828479,100.021614
경북,5,8335,401835,48.210556
경북,6,8383,423530,50.522488
충북,4,2834,303904,107.235
충북,5,2883,141058,48.927505
충북,6,2945,136653,46.4017
전북,4,3863,421503,109.11287
전북,5,4444,216547,48.727947
전북,6,4055,262662,64.77485
인천,4,8425,795128,94.37721
인천,5,8592,488737,56.882797
인천,6,8167,400698,49.063057
