지역,측정월,totalCnt,totalPM10,avPM10
서울,10,24734,1575005,63.67773
서울,11,23552,1576520,66.93784
서울,12,24387,1397021,57.28548
경기,10,39386,2680805,68.06492
경기,11,37612,2696917,71.70363
경기,12,39433,2605877,66.083664
강원,10,6629,277226,41.820183
강원,11,6292,344803,54.800224
강원,12,6653,340324,51.153465
부산,10,12338,609697,49.416195
부산,11,12451,804819,64.6389
부산,12,13195,776307,58.833424
경남,10,6276,332654,53.004143
경남,11,5913,377141,63.781666
경남,12,6284,397401,63.240135
울산,10,7912,332072,41.970676
울산,11,7140,403367,56.493977
울산,12,7611,361712,47.5249
광주,10,4309,184690,42.861454
광주,11,4246,195588,46.06406
광주,12,4178,188384,45.089516
전북,10,7139,351480,49.233788
전북,11,6935,353210,50.931507
전북,12,7236,340739,47.089413
전남,10,7125,294098,41.276913
전남,11,6628,274137,41.36044
전남,12,6565,276080,42.053314
대구,10,6380,366560,57.454544
대구,11,6698,439611,65.63317
대구,12,6844,432278,63.161602
제주,10,2223,74789,33.643276
제주,11,2136,89444,41.87453
제주,12,2231,86517,38.779472
경북,10,8829,409440,46.374447
경북,11,8564,483565,56.46485
경북,12,9216,451455,48.986004
충북,10,4751,241716,50.87687
충북,11,4362,265479,60.86176
충북,12,4912,268049,54.570236
전북,10,7139,351480,49.233788
전북,11,6935,353210,50.931507
전북,12,7236,340739,47.089413
인천,10,9546,618755,64.818245
인천,11,9389,574152,61.15156
인천,12,9739,529097,54.327652
