지역,측정월,totalCnt,totalPM10,avPM10
서울,4,22618,1819567,80.44774
서울,5,24350,2144648,88.07589
서울,6,23601,1139714,48.29092
경기,4,45896,3672057,80.00822
경기,5,47588,4161398,87.44637
경기,6,46012,2351469,51.10556
강원,4,7140,558199,78.17913
강원,5,7105,481958,67.83364
강원,6,6827,230648,33.78468
부산,4,13248,1249257,94.29778
부산,5,13899,1092926,78.63343
부산,6,13463,662689,49.22298
경남,4,10136,847730,83.63556
경남,5,10967,749567,68.347496
경남,6,10460,446251,42.66262
울산,4,9313,859453,92.2853
울산,5,9098,656769,72.188286
울산,6,7782,316413,40.6596
광주,4,5727,532684,93.01275
광주,5,5923,476657,80.4756
광주,6,5752,250989,43.635082
전북,4,8316,666474,80.14358
전북,5,8748,717573,82.02709
전북,6,8144,406006,49.85339
전남,4,7862,602641,76.65238
전남,5,7756,515757,66.49781
전남,6,7754,306296,39.501675
대구,4,8773,744402,84.85148
대구,5,8996,623456,69.30369
대구,6,8730,374237,42.867928
제주,4,2865,236904,82.689
제주,5,2897,218282,75.3476
제주,6,2871,107308,37.376522
경북,4,10484,820775,78.288345
경북,5,10848,767012,70.70538
경북,6,10481,451346,43.06326
충북,4,5665,455629,80.42877
충북,5,5806,448399,77.23028
충북,6,5387,224713,41.71394
전북,4,8316,666474,80.14358
전북,5,8748,717573,82.02709
전북,6,8144,406006,49.85339
인천,4,10545,811599,76.965294
인천,5,10980,953237,86.81576
인천,6,10300,503052,48.84
