지역,측정월,totalCnt,totalPM10,avPM10
서울,7,23569,1340610,56.880222
서울,8,23163,758303,32.737686
서울,9,22461,805513,35.86274
경기,7,47485,2728839,57.46739
경기,8,46583,1622272,34.82541
경기,9,45196,1733086,38.346004
강원,7,7074,246867,34.897797
강원,8,7143,193783,27.129078
강원,9,7067,196331,27.781378
부산,7,13568,754045,55.57525
부산,8,13703,606178,44.23688
부산,9,13262,515799,38.893
경남,7,10171,482646,47.45315
경남,8,10158,354088,34.858044
경남,9,10175,348258,34.22683
울산,7,8788,411682,46.845924
울산,8,8756,361641,41.30208
울산,9,7859,263064,33.47296
광주,7,5897,287536,48.75971
광주,8,5913,153443,25.95011
광주,9,6469,215289,33.280106
전북,7,8534,454763,53.288376
전북,8,8022,256255,31.944029
전북,9,8208,308009,37.525463
전남,7,7918,350251,44.234783
전남,8,8503,261579,30.763142
전남,9,8191,257208,31.401295
대구,7,8594,424836,49.434025
대구,8,7594,270598,35.633133
대구,9,7190,240046,33.386093
제주,7,2845,111261,39.107555
제주,8,2869,76979,26.8313
제주,9,2815,86170,30.611012
경북,7,10357,490331,47.342957
경북,8,10075,377346,37.453697
경북,9,10154,374513,36.883297
충북,7,5516,269584,48.873096
충북,8,5813,179441,30.868914
충북,9,5617,189674,33.76785
전북,7,8534,454763,53.288376
전북,8,8022,256255,31.944029
전북,9,8208,308009,37.525463
인천,7,10851,564272,52.001842
인천,8,10728,354621,33.05565
인천,9,10778,395025,36.651047
