지역,측정월,totalCnt,totalPM10,avPM10
서울,10,23693,1238797,52.28536
서울,11,24948,1191076,47.742344
서울,12,26676,1915508,71.80642
경기,10,50876,3084606,60.629883
경기,11,49426,2693713,54.49992
경기,12,52556,4136396,78.704544
강원,10,8016,369184,46.05589
강원,11,7760,294592,37.962887
강원,12,8125,506027,62.280247
부산,10,13952,763150,54.69825
부산,11,13135,517120,39.36962
부산,12,13929,729159,52.348267
경남,10,14045,732216,52.13357
경남,11,13986,527867,37.742527
경남,12,14354,733453,51.097466
울산,10,10061,531469,52.82467
울산,11,9741,371871,38.175854
울산,12,10111,516255,51.058746
광주,10,6426,379365,59.035946
광주,11,6470,265094,40.972797
광주,12,6680,383333,57.38518
전북,10,8268,444541,53.76645
전북,11,8239,352670,42.80495
전북,12,8805,526278,59.77036
전남,10,10872,531549,48.891556
전남,11,10312,346989,33.649048
전남,12,10795,500214,46.337563
대구,10,9441,499533,52.911026
대구,11,8874,416915,46.981632
대구,12,9464,608854,64.33369
제주,10,2943,158232,53.765545
제주,11,2799,102944,36.77885
제주,12,2956,146768,49.65088
경북,10,10881,550930,50.632294
경북,11,9840,408644,41.528862
경북,12,10239,574124,56.072273
충북,10,6640,407173,61.321236
충북,11,6380,364584,57.14483
충북,12,6663,538586,80.83236
전북,10,8268,444541,53.76645
전북,11,8239,352670,42.80495
전북,12,8805,526278,59.77036
인천,10,14688,906948,61.747547
인천,11,14243,763164,53.581688
인천,12,14493,1112050,76.73015
