지역,측정월,totalCnt,totalPM10,avPM10
서울,4,23391,2499454,106.85537
서울,5,24279,1530799,63.05033
서울,6,23366,1625368,69.56124
경기,4,42291,4817308,113.908585
경기,5,44332,3110817,70.17091
경기,6,42932,3126831,72.83218
강원,4,6336,607371,95.86032
강원,5,6496,337935,52.022015
강원,6,6438,350842,54.495495
부산,4,12862,1193553,92.796844
부산,5,13871,843543,60.813423
부산,6,13361,875176,65.50228
경남,4,10140,772883,76.22121
경남,5,10237,521645,50.95682
경남,6,9896,568755,57.47322
울산,4,9496,852625,89.7878
울산,5,9784,548201,56.030357
울산,6,9799,598880,61.11644
광주,4,4964,406825,81.95508
광주,5,5131,328521,64.0267
광주,6,4972,307261,61.79827
전북,4,8078,672371,83.23483
전북,5,7615,489568,64.289955
전북,6,6782,437763,64.547775
전남,4,6924,375970,54.299538
전남,5,6620,309699,46.782326
전남,6,5940,281910,47.459595
대구,4,8587,760538,88.568535
대구,5,8513,459453,53.97075
대구,6,8380,508986,60.738186
제주,4,2152,153706,71.42472
제주,5,2207,109279,49.514725
제주,6,2021,93565,46.296387
경북,4,9728,830988,85.42229
경북,5,9923,550602,55.487453
경북,6,9867,608192,61.639
충북,4,4946,440293,89.02002
충북,5,5169,290211,56.144516
충북,6,4983,291663,58.53161
전북,4,8078,672371,83.23483
전북,5,7615,489568,64.289955
전북,6,6782,437763,64.547775
인천,4,9784,1055954,107.92661
인천,5,10014,678351,67.740265
인천,6,9591,629965,65.68293
