지역,측정월,totalCnt,totalPM10,avPM10
서울,4,28080,1242848,44.260967
서울,5,29016,1332230,45.913635
서울,6,28080,1000040,35.61396
경기,4,58320,2891548,49.580727
경기,5,60264,3023231,50.16645
경기,6,58320,2253584,38.6417
강원,4,7920,358432,45.256565
강원,5,8184,397993,48.63062
강원,6,7920,294447,37.17765
부산,4,15120,726227,48.030888
부산,5,15624,871205,55.76069
부산,6,15120,698668,46.208202
경남,4,16560,753160,45.480675
경남,5,17112,867735,50.709152
경남,6,16560,763267,46.091003
울산,4,10800,508518,47.085
울산,5,11160,620836,55.630466
울산,6,10800,509268,47.154446
광주,4,6480,253588,39.13395
광주,5,6696,262079,39.139637
광주,6,6480,241805,37.315586
전북,4,10800,445692,41.267776
전북,5,11160,533667,47.819622
전북,6,10800,481913,44.621574
전남,4,12240,453508,37.051308
전남,5,12648,509098,40.251266
전남,6,12240,454909,37.165768
대구,4,8640,361871,41.883217
대구,5,8928,430906,48.26456
대구,6,8640,387016,44.793518
제주,4,2880,128898,44.75625
제주,5,2976,121397,40.792004
제주,6,2880,109804,38.12639
경북,4,12960,492664,38.0142
경북,5,13392,617843,46.13523
경북,6,12960,522139,40.2885
충북,4,7920,351636,44.398483
충북,5,8184,432047,52.791668
충북,6,7920,324815,41.011993
전북,4,10800,445692,41.267776
전북,5,11160,533667,47.819622
전북,6,10800,481913,44.621574
인천,4,15120,792847,52.43697
인천,5,15624,772151,49.420826
인천,6,15120,600501,39.715675
